epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12433.6,2.32403,1.30531,2.34682,0.90525,0.92691,0.96793,0.67243,0.67357,0.43833,0.66419,0.005842,0.005842,0.005842
44,12716.1,2.26751,1.30341,2.30268,0.87445,0.94855,0.96526,0.67878,0.67853,0.33161,0.66578,0.005743,0.005743,0.005743
45,12996.5,2.32724,1.34491,2.35592,0.9008,0.91791,0.96511,0.68532,0.66529,0.33847,0.66757,0.005644,0.005644,0.005644
46,13277.4,2.32267,1.34378,2.34737,0.89891,0.92902,0.96161,0.67714,0.67239,0.35574,0.67021,0.005545,0.005545,0.005545
47,13558.2,2.28947,1.25961,2.31416,0.91154,0.91978,0.96185,0.67878,0.66335,0.37915,0.66501,0.005446,0.005446,0.005446
48,13839.1,2.24564,1.2731,2.33943,0.91425,0.93284,0.96943,0.69001,0.65872,0.32168,0.65961,0.005347,0.005347,0.005347
49,14120.3,2.24982,1.25629,2.33505,0.90873,0.94216,0.9709,0.69267,0.65658,0.3309,0.65628,0.005248,0.005248,0.005248
50,14401,2.26765,1.22352,2.31615,0.90366,0.9347,0.96979,0.69705,0.65824,0.35314,0.65415,0.005149,0.005149,0.005149
51,14680.9,2.22664,1.26374,2.28895,0.90536,0.92811,0.96687,0.693,0.65692,0.34219,0.65205,0.00505,0.00505,0.00505
52,14961.8,2.23406,1.25927,2.31984,0.90699,0.92787,0.96646,0.69231,0.65808,0.34919,0.65223,0.004951,0.004951,0.004951
53,15242.8,2.18151,1.22833,2.28609,0.90646,0.9347,0.96578,0.69834,0.6517,0.3442,0.65258,0.004852,0.004852,0.004852
54,15523.9,2.20906,1.20309,2.26314,0.90404,0.95336,0.96529,0.68971,0.65544,0.33334,0.65314,0.004753,0.004753,0.004753
55,15804.6,2.18053,1.18677,2.28477,0.89918,0.9484,0.96789,0.69374,0.66098,0.32876,0.6539,0.004654,0.004654,0.004654
56,16085,2.17831,1.17379,2.2648,0.90445,0.93603,0.96478,0.6946,0.66374,0.33168,0.65719,0.004555,0.004555,0.004555
57,16365.9,2.1724,1.17612,2.2587,0.91501,0.91604,0.96618,0.68902,0.66723,0.3353,0.65821,0.004456,0.004456,0.004456
58,16646.2,2.12353,1.15948,2.22507,0.92166,0.92189,0.96869,0.69143,0.66954,0.33227,0.65813,0.004357,0.004357,0.004357
59,16926.8,2.11636,1.14299,2.23324,0.93291,0.90796,0.97125,0.69486,0.66342,0.33286,0.65721,0.004258,0.004258,0.004258
60,17207.2,2.0938,1.1405,2.23174,0.92753,0.90743,0.97086,0.69528,0.66048,0.33569,0.65544,0.004159,0.004159,0.004159
61,17487.9,2.11338,1.11227,2.23221,0.94506,0.90112,0.97067,0.69487,0.65906,0.33126,0.65339,0.00406,0.00406,0.00406
62,17769,2.18368,1.18292,2.27086,0.92694,0.92309,0.97263,0.70038,0.65348,0.32433,0.65035,0.003961,0.003961,0.003961
63,18049.9,2.17014,1.19223,2.2339,0.95155,0.90299,0.97439,0.70078,0.65275,0.32662,0.64985,0.003862,0.003862,0.003862
64,18330.6,2.02816,1.09557,2.1981,0.94399,0.91191,0.97252,0.69859,0.65699,0.32026,0.65018,0.003763,0.003763,0.003763
65,18610.7,2.03234,1.11819,2.18028,0.94042,0.91282,0.97237,0.6971,0.66136,0.32447,0.65177,0.003664,0.003664,0.003664
66,18891.8,2.10662,1.0834,2.20403,0.9254,0.92569,0.97229,0.69985,0.65714,0.32649,0.65115,0.003565,0.003565,0.003565
67,19172.4,2.08089,1.09369,2.18563,0.94593,0.91398,0.96972,0.70095,0.65709,0.32361,0.65156,0.003466,0.003466,0.003466
68,19453,2.07404,1.1042,2.20002,0.94767,0.91215,0.96972,0.7009,0.65997,0.32406,0.65217,0.003367,0.003367,0.003367
69,19733.9,2.05852,1.10454,2.21501,0.94703,0.91791,0.97,0.70379,0.65816,0.32361,0.65182,0.003268,0.003268,0.003268
70,20014.7,2.04309,1.0672,2.17335,0.93891,0.91755,0.97142,0.70269,0.65994,0.32345,0.652,0.003169,0.003169,0.003169
71,20295.8,2.06225,1.06577,2.20597,0.94129,0.91231,0.97193,0.70381,0.66081,0.32169,0.65219,0.00307,0.00307,0.00307
72,20576.9,2.07434,1.07112,2.19019,0.9168,0.94569,0.97216,0.70281,0.66292,0.31787,0.65323,0.002971,0.002971,0.002971
73,20858,2.02517,1.05179,2.18543,0.92845,0.94422,0.97374,0.70591,0.66267,0.31678,0.65348,0.002872,0.002872,0.002872
74,21138.8,2.02581,1.04535,2.15268,0.92201,0.9403,0.97285,0.70411,0.6627,0.31487,0.65381,0.002773,0.002773,0.002773
75,21419.6,1.98378,1.01455,2.1392,0.9318,0.9432,0.97325,0.70777,0.66311,0.31292,0.65366,0.002674,0.002674,0.002674
76,21700.7,2.01412,1.0287,2.15665,0.93005,0.94263,0.97487,0.70544,0.6643,0.31351,0.65415,0.002575,0.002575,0.002575
77,21981.7,1.97579,0.99536,2.17693,0.9319,0.94466,0.97575,0.70601,0.66638,0.31032,0.65522,0.002476,0.002476,0.002476
78,22262.6,2.00306,0.98864,2.1672,0.92816,0.94004,0.97611,0.70428,0.66643,0.30799,0.65524,0.002377,0.002377,0.002377
79,22544,1.97551,1.02505,2.19457,0.9211,0.93654,0.97306,0.70172,0.66729,0.31028,0.65523,0.002278,0.002278,0.002278
80,22824.8,1.92271,0.98722,2.11282,0.92362,0.92493,0.97271,0.70234,0.66839,0.30832,0.65565,0.002179,0.002179,0.002179
81,23106,1.9295,0.95794,2.12193,0.92541,0.9347,0.97257,0.70238,0.66989,0.30674,0.65622,0.00208,0.00208,0.00208
82,23386.7,1.89209,0.96035,2.08928,0.91927,0.94403,0.97273,0.70511,0.67105,0.30369,0.65701,0.001981,0.001981,0.001981
83,23668,1.94453,0.91401,2.12678,0.92613,0.93557,0.97305,0.70465,0.67164,0.30274,0.65761,0.001882,0.001882,0.001882
84,23949,1.93095,0.93169,2.11154,0.9319,0.92724,0.97257,0.70482,0.67175,0.30261,0.65797,0.001783,0.001783,0.001783
85,24229.6,1.84263,0.89617,2.05424,0.93107,0.93236,0.97366,0.70551,0.67399,0.30161,0.65743,0.001684,0.001684,0.001684
86,24510.5,1.89164,0.92217,2.09184,0.93262,0.92966,0.97408,0.70596,0.67434,0.3019,0.65772,0.001585,0.001585,0.001585
87,24791.5,1.86909,0.91597,2.09914,0.9306,0.93843,0.97473,0.70595,0.67511,0.30065,0.65827,0.001486,0.001486,0.001486
88,25072.3,1.87957,0.90732,2.08557,0.93008,0.94304,0.97492,0.70506,0.67523,0.29945,0.65871,0.001387,0.001387,0.001387
89,25352.4,1.84075,0.90787,2.0702,0.92993,0.94086,0.97502,0.70503,0.67607,0.29928,0.65902,0.001288,0.001288,0.001288
90,25633.1,1.85242,0.91546,2.06335,0.93456,0.93254,0.97483,0.70552,0.67691,0.29881,0.65929,0.001189,0.001189,0.001189
91,25987.9,1.64919,0.71578,2.05202,0.93476,0.9356,0.9748,0.70488,0.67788,0.29864,0.65944,0.00109,0.00109,0.00109
92,26264.8,1.57118,0.6959,1.99868,0.93022,0.94776,0.97504,0.70563,0.67755,0.2996,0.65963,0.000991,0.000991,0.000991
93,26542,1.60091,0.68903,2.00719,0.92609,0.94776,0.97508,0.70514,0.67928,0.29862,0.66036,0.000892,0.000892,0.000892
94,26819.5,1.56914,0.69949,2.02128,0.92532,0.94776,0.97499,0.70547,0.68006,0.29722,0.66094,0.000793,0.000793,0.000793
95,27096.4,1.52775,0.66815,1.98231,0.93072,0.94403,0.97521,0.70463,0.68118,0.29742,0.66243,0.000694,0.000694,0.000694
96,27373.9,1.58792,0.68166,2.00364,0.92112,0.94776,0.97554,0.70385,0.68209,0.29755,0.66317,0.000595,0.000595,0.000595
97,27650.3,1.51882,0.65999,1.94859,0.92265,0.94403,0.97244,0.70388,0.68278,0.29794,0.66344,0.000496,0.000496,0.000496
98,27928.1,1.52945,0.66247,1.99879,0.92606,0.9403,0.97296,0.70362,0.68514,0.29515,0.66454,0.000397,0.000397,0.000397
99,28205.1,1.50079,0.65415,1.94401,0.92313,0.94101,0.97262,0.70322,0.6857,0.29877,0.66467,0.000298,0.000298,0.000298
100,28482.6,1.51837,0.63207,1.96314,0.91991,0.94284,0.9719,0.70324,0.68564,0.29902,0.66495,0.000199,0.000199,0.000199
